facility_name,bus_num,gen_id,gen_owner,bus_basekv,criteria_nlo,criteria_nhi,criteria_elo,criteria_ehi,pmin,pmax,qmin,qmax,remote_bus,schdvolt,stat,pout,qout,terminalvolt,remote_voltage,violate
ROC,672326,2,62,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,1.20000005,12,-8,9,672326,1.01999998,0,0,0,0,1.01999998,
ROC,672326,3,62,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,1.20000005,12,-8,9,672326,1.01999998,0,0,0,0,1.01999998,
ROC,672327,4,62,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,1.20000005,12,-8,9,672327,1.01999998,0,0,0,0,1.01999998,
ROC,672327,5,62,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,1.20000005,12,-8,9,672327,1.01999998,0,0,0,0,1.01999998,
ROC,672327,6,62,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,1.20000005,12,-8,9,672327,1.01999998,0,0,0,0,1.01999998,
EBCAMPBELL,672330,1,55,14.39999962,0.89999998,1.10000002,0.89999998,1.10000002,0,39.15000153,-18.95999908,18.95999908,672630,1.07799995,0,0,0,0,1.07799995,
EBCAMPBELL,672331,2,55,14.39999962,0.89999998,1.10000002,0.89999998,1.10000002,0,39.15000153,-18.95999908,18.95999908,672630,1.07799995,0,0,0,0,1.07799995,
EBCAMPBELL,672332,3,55,14.39999962,0.89999998,1.10000002,0.89999998,1.10000002,0,39.15000153,-18.95999908,18.95999908,672630,1.07799995,0,0,0,0,1.07799995,
EBCAMPBELL,672333,4,55,14.39999962,0.89999998,1.10000002,0.89999998,1.10000002,0,39.15000153,-18.95999908,18.95999908,672630,1.07799995,0,0,0,0,1.07799995,
EBCAMPBELL,672334,5,55,14.39999962,0.89999998,1.10000002,0.89999998,1.10000002,0,39.15000153,-18.95999908,18.95999908,672630,1.07799995,0,0,0,0,1.07799995,
EBCAMPBELL,672335,6,55,14.39999962,0.89999998,1.10000002,0.89999998,1.10000002,0,39.15000153,-18.95999908,18.95999908,672630,1.07799995,0,0,0,0,1.07799995,
EBCAMPBELL,672336,7,55,14.39999962,0.89999998,1.10000002,0.89999998,1.10000002,0,43,-20.29999924,19.60000038,672630,1.07799995,0,0,0,0,1.07799995,
EBCAMPBELL,672337,8,55,14.39999962,0.89999998,1.10000002,0.89999998,1.10000002,0,43,-20.29999924,19.60000038,672630,1.07799995,0,0,0,0,1.07799995,
QUEEN,672339,16,58,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,30.00000191,100,-37,52.99999619,672540,1.03499997,0,0,0,0,1.03330433,
QUEEN,672340,1,58,14.39999962,0.89999998,1.10000002,0.89999998,1.10000002,10,62,-29.49999809,58,672540,1.03499997,0,0,0,0,1.03330433,
QUEEN,672341,2,58,14.39999962,0.89999998,1.10000002,0.89999998,1.10000002,25,66,-21.5,42,672540,1.03499997,0,0,0,0,1.03330433,
QUEEN,672342,3,58,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,30.00000191,100,-12,43,672540,1.03499997,0,0,0,0,1.03330433,
QUEEN,672343,4,58,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,0,28.10000229,-8.5,13.60000038,672540,1.03499997,0,0,0,0,1.03330433,
QUEEN,672343,5,58,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,0,28.10000229,-8.5,13.60000038,672540,1.03499997,0,0,0,0,1.03330433,
QUEEN,672343,6,58,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,0,28.10000229,-8.5,13.60000038,672540,1.03499997,0,0,0,0,1.03330433,
QUEEN,672344,7,58,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,0,28.10000229,-8.5,13.60000038,672540,1.03499997,0,0,0,0,1.03330433,
QUEEN,672344,8,58,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,0,28.10000229,-8.5,13.60000038,672540,1.03499997,0,0,0,0,1.03330433,
QUEEN,672344,9,58,13.80000019,0.89999998,1.10000002,0.89999998,1.10000002,0,28.10000229,-8.5,13.60000038,672540,1.03499997,0,0,0,0,1.03330433,
